Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,05-04-2017,8,1,2,2,13.5,6.75,4
2,09-04-2017,7,1,2,4,12,5.25,4
3,12-04-2017,1,2,3,7,9.86,5.25,4
4,15-04-2017,4,2,3,10,8.9,5,4
5,17-04-2017,5,1,5,15,7.2,4.75,4
6,19-04-2017,6,1,0,15,9.13,7.25,4
7,22-04-2017,2,2,1,16,11,9.75,4
8,28-04-2017,5,2,2,18,10.83,6.75,4
9,30-04-2017,4,1,2,20,11.2,7.25,4
10,02-05-2017,6,2,1,21,12.24,8.25,4
11,06-05-2017,2,1,0,21,14.1,9.75,4
12,08-05-2017,1,1,2,23,14.13,7.25,4
13,13-05-2017,7,2,2,25,14,7.5,3.2
14,17-05-2017,4,2,1,26,13.88,11,1
