Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs 
1,07-04-2018,2,1,1,1,37,9.25,4
2,12-04-2018,1,2,2,3,23,8,4
3,14-04-2018,8,1,0,3,32,6.75,4
4,17-04-2018,6,1,2,5,24.8,7,4
5,22-04-2018,4,2,2,7,21.71,7,4
6,24-04-2018,1,1,1,8,22.13,6.25,4
7,28-04-2018,2,1,0,8,25.25,6.25,4
8,01-05-2018,6,2,1,9,24.89,5.5,4
9,04-05-2018,7,2,1,10,24.3,4.75,4
10,06-05-2018,3,1,1,11,25.18,8.5,4
11,09-05-2018,3,2,1,12,24.5,5.67,3
12,13-05-2018,4,1,1,13,25.23,11.33,3
13,16-05-2018,7,1,3,16,21.44,3.75,4
14,20-05-2018,8,2,1,17,21.88,7.25,4
